run_index,fixture_id,backend,total_ms,alloc_ms,encode_ms,draw_ms,readback_ms,pack_ms,dominant_phase,heap_bytes,decode_checked,decode_pass,code128,qr,ink_bits
542,text-heavy,dot-buffer,30.000,0.131,0.000,9.073,0.001,20.795,pack,33554432,0,,,,
543,dense,dot-buffer,34.465,0.136,15.275,2.521,0.001,16.531,pack,33554432,0,,,,
544,minimal,dot-buffer,11.928,0.127,0.000,0.041,0.001,11.760,pack,33554432,0,,,,
545,barcode-small,dot-buffer,29.249,0.156,13.614,1.747,0.001,13.731,pack,33554432,0,,,,
546,baseline-50x30,dot-buffer,34.882,0.155,15.126,2.779,0.001,16.820,pack,33554432,0,,,,
547,text-heavy,dot-buffer,29.912,0.148,0.000,9.114,0.001,20.650,pack,33554432,0,,,,
548,dense,dot-buffer,35.276,0.141,15.978,2.499,0.001,16.658,pack,33554432,0,,,,
549,minimal,dot-buffer,11.954,0.149,0.000,0.043,0.001,11.762,pack,33554432,0,,,,
550,barcode-small,dot-buffer,29.351,0.134,13.610,1.792,0.001,13.814,pack,33554432,0,,,,
551,baseline-50x30,dot-buffer,35.525,0.154,15.445,2.954,0.002,16.971,pack,33554432,0,,,,
552,text-heavy,dot-buffer,30.136,0.176,0.000,9.174,0.001,20.785,pack,33554432,0,,,,
553,dense,dot-buffer,34.525,0.144,15.271,2.543,0.002,16.564,pack,33554432,0,,,,
554,minimal,dot-buffer,11.928,0.149,0.000,0.050,0.001,11.727,pack,33554432,0,,,,
555,barcode-small,dot-buffer,29.554,0.146,13.950,1.770,0.001,13.688,encode,33554432,0,,,,
556,baseline-50x30,dot-buffer,34.853,0.140,15.019,2.802,0.002,16.891,pack,33554432,0,,,,
557,text-heavy,dot-buffer,30.021,0.188,0.000,9.123,0.001,20.709,pack,33554432,0,,,,
558,dense,dot-buffer,34.411,0.167,15.001,2.510,0.001,16.732,pack,33554432,0,,,,
559,minimal,dot-buffer,12.171,0.169,0.000,0.050,0.001,11.951,pack,33554432,0,,,,
560,barcode-small,dot-buffer,29.399,0.142,13.685,1.809,0.001,13.763,pack,33554432,0,,,,
561,baseline-50x30,dot-buffer,35.611,1.948,13.888,2.999,0.001,16.775,pack,33554432,0,,,,
562,text-heavy,dot-buffer,29.728,0.125,0.000,9.051,0.001,20.550,pack,33554432,0,,,,
